Name,Coach_ID,Team,Season,League,Matches,Expectation,Result,Difference
Austin MacPhee,Austin MacPhee-HOM-1920,Heart of Midlothian,1920,SCO-premiership,5,41.62015,38.64545,-2.9747
Axel Kjäll,Axel Kjäll-ORE-1819,Örebro SK,1819,SWE-Allvenskan,11,37.7634,35,-2.7634
Axel Kjäll,Axel Kjäll-ORE-1920,Örebro SK,1920,SWE-Allvenskan,34,31.31015,33,1.68985
Axel Kjäll,Axel Kjäll-ORE-2021,Örebro SK,2021,SWE-Allvenskan,25,32.7814,42,9.2186
Axel Kjäll,Axel Kjäll-ORE-2122,Örebro SK,2122,SWE-Allvenskan,7,36.42385,29.88865,-6.5352
Aykan Atik,Aykan Atik-ANK-1920,MKE Ankaragücü,1920,TUR-Super Lig,4,37.90115,40.298,2.39685
Aykut Kocaman,Aykut Kocaman-IBB-2021,İstanbul Başakşehir,2021,TUR-Super Lig,15,49.29125,48,-1.29125
Aykut Kocaman,Aykut Kocaman-IBB-2122,İstanbul Başakşehir,2122,TUR-Super Lig,7,54.8267,49.3428,-5.4839
Aykut Kocaman,Aykut Kocaman-KNY-1819,Konyaspor,1819,TUR-Super Lig,22,48.93395,44,-4.93395
Aykut Kocaman,Aykut Kocaman-KNY-1920,Konyaspor,1920,TUR-Super Lig,22,45.8528,34.77495,-11.07785
Baraja,Baraja-GIJ-1819,Sporting Gijón,1819,ESP-La Liga 2,8,62.48325,56.5271,-5.95615
Baraja,Baraja-TEN-1920,CD Tenerife,1920,ESP-La Liga 2,20,47.12675,55,7.87325
Baraja,Baraja-ZAR-1920,Real Zaragoza,1920,ESP-La Liga 2,1,65,65,0
Baraja,Baraja-ZAR-2021,Real Zaragoza,2021,ESP-La Liga 2,10,53.79625,45.9772,-7.81905
Barry Robson,Barry Robson-ABER-2122,Aberdeen FC,2122,SCO-premiership,1,46.4698,46.4698,0
Bartosz Grzelak,Bartosz Grzelak-AIK-2021,AIK Solna,2021,SWE-Allvenskan,17,41.5383,39,-2.5383
Bartosz Grzelak,Bartosz Grzelak-AIK-2122,AIK Solna,2122,SWE-Allvenskan,27,44.53405,59,14.46595
Bayram Bektaş,Bayram Bektaş-ANK-1819,MKE Ankaragücü,1819,TUR-Super Lig,2,37.8895,34.3686,-3.5209
Bayram Bektaş,Bayram Bektaş-GOZ-1819,Göztepe,1819,TUR-Super Lig,9,46.175,43.0512,-3.1238
Bayram Bektaş,Bayram Bektaş-KAY-1920,Kayserispor,1920,TUR-Super Lig,1,32,32,0
Bayram Bektaş,Bayram Bektaş-KAY-2021,Kayserispor,2021,TUR-Super Lig,7,44.0985,41.7184,-2.3801
Ben Davies,Ben Davies-GRI-2021,Grimsby Town,2021,ENG-League Two,1,46.131,46.131,0
Ben Garner,Ben Garner-BRI-1920,Bristol Rovers,1920,ENG-League One,14,61.73605,45,-16.73605
Ben Garner,Ben Garner-BRI-2021,Bristol Rovers,2021,ENG-League One,9,51.1484,52.8208,1.6724
Ben Garner,Ben Garner-SWI-2122,Swindon Town,2122,ENG-League Two,42,69.15565,77,7.84435
Benoît Cauet,Benoît Cauet-CHAT-2021,LB Châteauroux,2021,FRA-Ligue 2,9,32.71685,26.7144,-6.00245
Benoît Pedretti,Benoît Pedretti-NCY-2122,AS Nancy Lorraine,2122,FRA-Ligue 2,14,35.35485,29.9066,-5.44825
Bernard Blaquart,Bernard Blaquart-NIME-1819,Nîmes Olympique,1819,FRA-Ligue 1,33,48.1304,53,4.8696
Bernard Blaquart,Bernard Blaquart-NIME-1920,Nîmes Olympique,1920,FRA-Ligue 1,26,48.04935,38.203,-9.84635
Bernd Hollerbach,Bernd Hollerbach-REM-1920,Royal Excel Mouscron,1920,BEL-First Division,24,43.09865,36.74125,-6.3574
Bernd Hollerbach,Bernd Hollerbach-STVV-2122,Sint-Truidense VV,2122,BEL-First Division,29,39.32445,49.5478,10.22335
Bernd Storck,Bernd Storck-CBK-1920,Cercle Brugge,1920,BEL-First Division,18,16.1277,24.59155,8.46385
Bernd Storck,Bernd Storck-GENK-2122,KRC Genk,2122,BEL-First Division,15,51.40735,49.90065,-1.5067
Bernd Storck,Bernd Storck-REM-1819,Royal Excel Mouscron,1819,BEL-First Division,21,24.48775,37.56675,13.079
Bernhard Trares,Bernhard Trares-FWK-2021,Würzburger Kickers,2021,GER-Bundesliga 2,18,29.1709,25.58535,-3.58555
Bert Konterman,Bert Konterman-ZWO-2021,PEC Zwolle,2021,NED-Eredivisie,11,37.8153,38,0.1847
Beñat San José,Beñat San José-EUP-1920,KAS Eupen,1920,BEL-First Division,27,25.94355,30.54465,4.6011
