name,coach_id,team,season,league,last_updated,expectation,result,difference
Ranko Popović,Ranko Popović-SKN-1819,SKN St. Pölten,1819,AUS-Bundesliga,23,28.2592,21.0,-7.2592
Raphaël Wicky,Raphaël Wicky-BSCY-2223,BSC Young Boys,2223,SWI-Super League,16,73.48295,76.4939,3.010949999999994
Rashid Rakhimov,Rashid Rakhimov-UFA-2021,FK Ufa,2021,RUS-Premier League,14,25.6439,20.06585,-5.5780499999999975
Raymond Domenech,Raymond Domenech-NAN-2021,FC Nantes,2021,FRA-Ligue 1,6,39.0294,35.2118,-3.817600000000006
Raúl Riancho,Raúl Riancho-SPM-1819,Spartak Moskva,1819,RUS-Premier League,4,49.78385,42.63795,-7.145900000000005
Recep Uçar,Recep Uçar-BES-1920,Beşiktaş,1920,TUR-Super Lig,20,65.75755,55.5175,-10.240049999999997
Reiner Geyer,Reiner Geyer-ADM-1819,FC Admira Wacker,1819,AUS-Bundesliga,21,20.2806,22.0,1.7194000000000003
Reiner Geyer,Reiner Geyer-ADM-1920,FC Admira Wacker,1920,AUS-Bundesliga,5,21.9568,20.17775,-1.7790500000000016
René Eijer,René Eijer-SIT-1819,Fortuna Sittard,1819,NED-Eredivisie,29,37.8823,34.0,-3.8823000000000008
René Girard,René Girard-PAR-1920,Paris FC,1920,FRA-Ligue 2,9,36.2063,40.55005,4.34375
René Girard,René Girard-PAR-2021,Paris FC,2021,FRA-Ligue 2,34,50.3558,64.0,13.644199999999998
René Hake,René Hake-GAE-2223,Go Ahead Eagles,2223,NED-Eredivisie,15,36.9044,39.5456,2.6411999999999978
René Hake,René Hake-UTR-2021,FC Utrecht,2021,NED-Eredivisie,25,48.65915,53.0,4.340850000000003
René Hake,René Hake-UTR-2122,FC Utrecht,2122,NED-Eredivisie,27,52.61945,51.84205,-0.7774000000000001
René Kolmschot,René Kolmschot-HER-2122,Heracles Almelo,2122,NED-Eredivisie,1,34.0,34.0,0.0
René Weiler,René Weiler-FCL-1819,FC Luzern,1819,SWI-Super League,15,50.19425,41.09695,-9.097299999999997
Ricardo Dionísio,Ricardo Dionísio-SION-1920,FC Sion,1920,SWI-Super League,6,39.2988,35.97815,-3.3206500000000005
Ricardo Moniz,Ricardo Moniz-EXL-1819,SBV Excelsior,1819,NED-Eredivisie,6,29.0793,33.0,3.9207
Ricardo Soares,Ricardo Soares-GVFC-2021,Gil Vicente,2021,POR-Primeira Liga,25,38.54,39.0,0.46000000000000085
Ricardo Soares,Ricardo Soares-GVFC-2122,Gil Vicente,2122,POR-Primeira Liga,37,45.05805,51.0,5.9419499999999985
Ricardo Soares,Ricardo Soares-MORE-1920,Moreirense FC,1920,POR-Primeira Liga,19,38.10705,43.0,4.892949999999999
Ricardo Soares,Ricardo Soares-MORE-2021,Moreirense FC,2021,POR-Primeira Liga,8,39.71475,39.4248,-0.2899500000000046
Richard Beale,Richard Beale-WBA-2223,West Bromwich Albion,2223,ENG-Championship,2,64.84595,62.6488,-2.1971500000000006
Richard Cooper,Richard Cooper-MANS-2021,Mansfield Town,2021,ENG-League Two,1,51.59685,51.59685,0.0
Richard Déziré,Richard Déziré-MNS-1920,Le Mans FC,1920,FRA-Ligue 2,23,41.7068,36.3549,-5.3519000000000005
Richie Wellens,Richie Wellens-DON-2021,Doncaster Rovers,2021,ENG-League One,2,64.0,64.0,0.0
Richie Wellens,Richie Wellens-DON-2122,Doncaster Rovers,2122,ENG-League One,16,55.7577,37.30215,-18.455550000000002
Richie Wellens,Richie Wellens-LEY-2122,Leyton Orient,2122,ENG-League Two,12,52.20105,58.0,5.798949999999998
Richie Wellens,Richie Wellens-LEY-2223,Leyton Orient,2223,ENG-League Two,17,66.61565,88.47545,21.859799999999993
